Date,AGG,DBC,DFE,DIA,DXJ,EEM,EFA,EWG,EWH,EWI,EWT,EWU,EWW,EWY,EWZ,EZU
2007-06-19,300600,347400,35900,10493800,7400,19876899,3349600,512100,2084500,73200,5479700,369300,2599600,822000,5982900,204400
2007-06-20,297100,243800,72500,16275500,200,31064901,5006800,794500,4814400,139900,7211600,224900,4203000,2583500,9355100,570400
2007-06-21,337000,234400,36900,24712100,3700,25003899,4959900,977200,3711500,79100,9679400,286100,3209800,1850300,8967500,408400
2007-06-22,355900,579500,121500,20740300,3600,22157700,7607600,647600,1770300,145300,5259200,217700,2914500,1734600,8063100,222800
2007-06-25,304300,395200,44200,18785600,8400,27547701,6058500,1638000,3632600,72000,10663800,300400,3857800,1153000,8071000,273800
2007-06-26,639800,283000,11700,21432600,1100,28799400,8316000,811600,2351500,44600,7266400,163600,3468100,2099300,7925400,204600
2007-06-27,213400,217300,13700,19253700,2100,30070599,5981400,1106700,4504300,74800,5632700,268400,4613400,1197600,7147600,214000
2007-06-28,288300,278500,12800,12813600,1800,20914701,6388900,638100,2387800,32600,6451100,133400,3728900,1010200,7658800,391200
2007-06-29,496400,258100,18100,18636500,8900,34919199,10001600,994400,3119700,94100,7593900,203600,2501000,1265100,7702300,202400
2007-07-02,1607000,810100,47100,8329800,1100,25048599,6177800,742800,2109600,74200,4740300,337800,2308300,1452300,6027900,234000
2007-07-03,384100,185100,6100,6823900,700,13316799,2096100,660000,909800,50900,7658000,210400,820300,641800,4360600,197800
2007-07-05,356000,250500,22900,9212300,1000,25947999,5899700,4974800,2846600,260700,11278300,184900,2504000,1369800,7491100,786800
2007-07-06,273800,332200,57600,7933300,4100,31557999,3285800,1844600,2150900,56000,7543600,200400,2486300,1361900,7172700,476000
2007-07-09,231900,156000,9100,9415200,5100,27138399,5962700,2985100,3260300,82300,10418700,289100,4118100,1165400,6091600,574200
2007-07-10,711900,227900,23300,12431500,2700,38988600,5758900,2205800,3306500,141100,7351300,186300,3423100,2132500,10313400,224600
2007-07-11,232100,193400,15000,16013200,1700,22967301,5450200,2736800,1627900,184500,8384900,423400,2297300,1005200,7051800,372200
2007-07-12,234100,276800,7000,13032400,2900,27088599,5021600,1105000,3008600,139900,8806800,552900,1616400,1848700,8288000,474000
2007-07-13,247600,168200,14000,7383500,1800,24008100,5171500,826100,2358300,154200,5248300,98800,1485300,1473700,5946900,170200
2007-07-16,279300,316400,13500,10525500,20700,23587401,3319900,614700,1952000,45400,5719100,350500,1978700,1957800,7580300,281600
2007-07-17,219200,422300,7100,12551400,12200,21468201,3946800,716600,2199000,9800,3617200,125200,2436700,1091300,5748000,106400
2007-07-18,220000,228200,13800,19015500,13800,33371499,9537300,947100,3650000,123800,7435700,558000,2908500,1713200,7729500,224600
2007-07-19,320500,102900,12800,8295100,33300,24048000,5499600,1019000,1509800,23100,4838800,87700,2601000,1836100,8018500,201600
2007-07-20,316000,251800,17500,18984000,3800,43436601,5400800,825100,1763400,62800,10035400,148700,2741500,1882300,7618900,188400
