,AGG,DBC,DFE,DIA,DXJ,EEM,EFA,EWG,EWH,EWI,EWT,EWU,EWW,EWY,EWZ,EZU
2007-05-01,5.12195e-01,4.51220e-01,3.53659e-01,3.78049e-01,5.12195e-01,4.63415e-01,3.90244e-01,3.78049e-01,4.75610e-01,4.51220e-01,5.24390e-01,4.75610e-01,4.39024e-01,4.75610e-01,3.90244e-01,4.02439e-01
2007-05-02,5.18072e-01,4.45783e-01,3.49398e-01,3.73494e-01,5.06024e-01,4.57831e-01,3.97590e-01,3.73494e-01,4.69880e-01,4.45783e-01,5.18072e-01,4.81928e-01,4.33735e-01,4.69880e-01,3.97590e-01,3.97590e-01
2007-05-03,5.11905e-01,4.52381e-01,3.45238e-01,3.69048e-01,5.00000e-01,4.52381e-01,3.92857e-01,3.80952e-01,4.64286e-01,4.40476e-01,5.11905e-01,4.76190e-01,4.28571e-01,4.64286e-01,3.92857e-01,4.04762e-01
2007-05-04,5.17647e-01,4.47059e-01,3.52941e-01,3.64706e-01,4.94118e-01,4.47059e-01,3.88235e-01,3.88235e-01,4.58824e-01,4.47059e-01,5.05882e-01,4.70588e-01,4.23529e-01,4.58824e-01,3.88235e-01,4.00000e-01
2007-05-07,5.11628e-01,4.53488e-01,3.48837e-01,3.60465e-01,4.88372e-01,4.53488e-01,3.83721e-01,3.83721e-01,4.53488e-01,4.41860e-01,5.00000e-01,4.65116e-01,4.18605e-01,4.65116e-01,3.83721e-01,3.95349e-01
2007-05-08,5.05747e-01,4.59770e-01,3.44828e-01,3.56322e-01,4.82759e-01,4.48276e-01,3.79310e-01,3.79310e-01,4.59770e-01,4.36782e-01,4.94253e-01,4.71264e-01,4.13793e-01,4.59770e-01,3.90805e-01,3.90805e-01
2007-05-09,5.11364e-01,4.65909e-01,3.52273e-01,3.52273e-01,4.88636e-01,4.54545e-01,3.86364e-01,3.86364e-01,4.65909e-01,4.43182e-01,5.00000e-01,4.77273e-01,4.20455e-01,4.65909e-01,3.86364e-01,3.97727e-01
2007-05-10,5.16854e-01,4.71910e-01,3.59551e-01,3.48315e-01,4.83146e-01,4.49438e-01,3.82022e-01,3.82022e-01,4.60674e-01,4.38202e-01,4.94382e-01,4.71910e-01,4.15730e-01,4.60674e-01,3.82022e-01,3.93258e-01
2007-05-11,5.11111e-01,4.77778e-01,3.66667e-01,3.55556e-01,4.88889e-01,4.55556e-01,3.88889e-01,3.88889e-01,4.66667e-01,4.44444e-01,5.00000e-01,4.77778e-01,4.22222e-01,4.66667e-01,3.88889e-01,4.00000e-01
2007-05-14,5.16484e-01,4.72527e-01,3.62637e-01,3.51648e-01,4.83516e-01,4.50549e-01,3.84615e-01,3.84615e-01,4.61538e-01,4.39560e-01,4.94505e-01,4.72527e-01,4.17582e-01,4.61538e-01,3.84615e-01,3.95604e-01
2007-05-15,5.10870e-01,4.78261e-01,3.69565e-01,3.47826e-01,4.89130e-01,4.56522e-01,3.91304e-01,3.91304e-01,4.67391e-01,4.45652e-01,5.00000e-01,4.78261e-01,4.23913e-01,4.67391e-01,3.91304e-01,4.02174e-01
2007-05-16,5.16129e-01,4.73118e-01,3.65591e-01,3.44086e-01,4.94624e-01,4.51613e-01,3.87097e-01,3.87097e-01,4.73118e-01,4.40860e-01,5.05376e-01,4.73118e-01,4.19355e-01,4.73118e-01,3.87097e-01,3.97849e-01
2007-05-17,5.10638e-01,4.78723e-01,3.61702e-01,3.40426e-01,4.89362e-01,4.46809e-01,3.82979e-01,3.82979e-01,4.68085e-01,4.36170e-01,5.00000e-01,4.68085e-01,4.14894e-01,4.68085e-01,3.82979e-01,4.04255e-01
2007-05-18,5.15789e-01,4.73684e-01,3.68421e-01,3.47368e-01,4.94737e-01,4.52632e-01,3.89474e-01,3.89474e-01,4.63158e-01,4.42105e-01,5.05263e-01,4.73684e-01,4.21053e-01,4.73684e-01,3.89474e-01,4.00000e-01
2007-05-21,5.20833e-01,4.79167e-01,3.64583e-01,3.43750e-01,5.00000e-01,4.47917e-01,3.85417e-01,3.85417e-01,4.68750e-01,4.37500e-01,5.00000e-01,4.68750e-01,4.16667e-01,4.79167e-01,3.85417e-01,3.95833e-01
2007-05-22,5.15464e-01,4.74227e-01,3.71134e-01,3.50515e-01,4.94845e-01,4.43299e-01,3.91753e-01,3.91753e-01,4.74227e-01,4.43299e-01,4.94845e-01,4.74227e-01,4.12371e-01,4.74227e-01,3.81443e-01,4.02062e-01
2007-05-23,5.20408e-01,4.79592e-01,3.67347e-01,3.57143e-01,4.89796e-01,4.38776e-01,3.87755e-01,3.87755e-01,4.79592e-01,4.48980e-01,4.89796e-01,4.79592e-01,4.08163e-01,4.69388e-01,3.87755e-01,3.97959e-01
2007-05-24,5.25253e-01,4.74747e-01,3.63636e-01,3.53535e-01,4.94949e-01,4.44444e-01,3.83838e-01,3.83838e-01,4.84848e-01,4.44444e-01,4.94949e-01,4.74747e-01,4.04040e-01,4.74747e-01,3.93939e-01,3.93939e-01
2007-05-25,5.20000e-01,4.80000e-01,3.70000e-01,3.60000e-01,5.00000e-01,4.50000e-01,3.90000e-01,3.90000e-01,4.90000e-01,4.50000e-01,5.00000e-01,4.80000e-01,4.10000e-01,4.80000e-01,4.00000e-01,4.00000e-01
2007-05-29,5.24752e-01,4.75248e-01,3.66337e-01,3.56436e-01,5.04950e-01,4.45545e-01,3.86139e-01,3.86139e-01,4.85149e-01,4.45545e-01,4.95050e-01,4.75248e-01,4.05941e-01,4.75248e-01,3.96040e-01,3.96040e-01
